-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::_assert_async         0.02%      11.368ms         0.04%      25.610ms      10.004us       6.729ms         1.49%       6.729ms       2.628us           0 B           0 B           0 B           0 B          2560  
void at::native::_assert_async_cuda_kernel<bool>(boo...         0.00%       0.000us         0.00%       0.000us       0.000us       6.729ms         1.49%       6.729ms       2.628us           0 B           0 B           0 B           0 B          2560  
                                      aten::bitwise_and         0.07%      42.390ms         0.10%      63.767ms      16.103us       6.558ms         1.45%       6.558ms       1.656us           0 B           0 B       1.93 MB       1.93 MB          3960  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.558ms         1.45%       6.558ms       1.656us           0 B           0 B           0 B           0 B          3960  
                              aten::_local_scalar_dense         0.04%      27.142ms         0.16%     102.758ms      37.097us       6.452ms         1.43%       6.452ms       2.329us           0 B           0 B           0 B           0 B          2770  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       6.452ms         1.43%       6.452ms       2.329us           0 B           0 B           0 B           0 B          2770  
                                      aten::bitwise_not         0.04%      25.107ms         0.07%      45.696ms      11.900us       6.273ms         1.39%       6.273ms       1.634us           0 B           0 B       1.88 MB       1.88 MB          3840  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 65.023s
Self CUDA time total: 452.061ms

