diagnostics/gate_mean,loop/frames,loop/update,loss/approx_kl,loss/clipfrac,loss/entropy,loss/policy_loss,loss/pred_loss,loss/value_loss,optim/lr,perf/elapsed_sec,perf/eta_sec,perf/fps,perf/updates_per_sec,time/elapsed_sec,train/len50,train/ret50,eval/deterministic,eval/env_steps,eval/episodes_collected,eval/episodes_target,eval/fps,eval/len_mean,eval/len_std,eval/num_envs,eval/ret_mean,eval/ret_std,eval/runtime_sec,eval/seed
0.0,2048,1,0.00297375931404531,0.02685546875,4.2590508460998535,-0.0013219534885138273,0.0,0.7543626427650452,0.0003,15.548068594187498,37952.83543841168,131.72054056705318,0.06431667019875643,20.192613,,,,,,,,,,,,,,
0.0,4096,2,0.004119116347283125,0.0591517873108387,4.259653091430664,-0.004133747424930334,0.0,0.6945162415504456,0.0003,30.69267841987312,37445.067672245204,133.45202213919174,0.06516212018515222,35.337131,,,,,,,,,,,,,,
0.0,6144,3,0.008082452230155468,0.0625,4.259257793426514,0.020417237654328346,0.0,0.5790621638298035,0.0003,46.7810587156564,38033.00073582865,131.3352063565796,0.06412851872879863,51.425563,,,,,,,,,,,,,,
0.0,8192,4,0.003440874395892024,0.0419921875,4.258218765258789,0.006975616328418255,0.0,0.7246331572532654,0.0003,64.49525634013116,39309.858739309944,127.01709342463154,0.06202006514874587,69.13972,1000.0,-49.50572967529297,,,,,,,,,,,,
0.0,10240,5,0.005365106742829084,0.08203125,4.257687091827393,-0.001895881607197225,0.0,0.5398285984992981,0.0003,81.71297334507108,39826.903208387645,125.31669795880309,0.06118979392519682,86.35742,1000.0,-49.50572967529297,,,,,,,,,,,,
0.0,12288,6,0.0036415881477296352,0.09375,4.257359504699707,0.020931612700223923,0.0,0.7944046258926392,0.0003,97.86124121956527,39731.6639351435,125.56554409963151,0.0613113008298982,102.505653,1000.0,-49.50572967529297,,,,,,,,,,,,
0.0,14336,7,0.004863566253334284,0.0390625,4.256930828094482,-0.002474268665537238,0.0,0.679726779460907,0.0003,113.79830166697502,39585.552079869165,125.9772754953196,0.061512341550449025,118.442737,1000.0,-49.50572967529297,,,,,,,,,,,,
0.0,16384,8,0.002245488576591015,0.03515625,4.256295680999756,0.008662110194563866,0.0,1.1785424947738647,0.0003,129.38240999914706,39364.59824224049,126.63236061306951,0.061832207330600346,134.026953,1000.0,-58.69015598297119,,,,,,,,,,,,
0.0,18432,9,0.006564306560903788,0.0513392873108387,4.255916118621826,-0.0026127921883016825,0.0,1.5623632669448853,0.0003,145.8550354409963,39429.477914216,126.37205115524736,0.061705103103148126,150.499486,1000.0,-58.69015598297119,,,,,,,,,,,,
0.0,20480,10,0.004642465617507696,0.04936079680919647,4.255579948425293,0.0029998428653925657,0.0,0.8370465636253357,0.0003,161.5408622957766,39286.73771033287,126.77906821186653,0.061903841900325454,166.185317,1000.0,-58.69015598297119,,,,,,,,,,,,
