diagnostics/gate_mean,loop/frames,loop/update,loss/approx_kl,loss/clipfrac,loss/entropy,loss/policy_loss,loss/pred_loss,loss/value_loss,optim/lr,perf/elapsed_sec,perf/eta_sec,perf/fps,perf/updates_per_sec,time/elapsed_sec,train/len50,train/ret50,eval/deterministic,eval/env_steps,eval/episodes_collected,eval/episodes_target,eval/fps,eval/len_mean,eval/len_std,eval/num_envs,eval/ret_mean,eval/ret_std,eval/runtime_sec,eval/seed
0.0,2048,1,0.002056250348687172,0.02490234375,4.258552074432373,0.0009872028604149818,0.0,0.7836337089538574,0.0003,15.927149318158627,38878.17148562521,128.5854712032532,0.06278587461096348,20.55333,,,,,,,,,,,,,,
0.0,4096,2,0.002898311009630561,0.0859375,4.259395122528076,-0.03092876449227333,0.0,0.6572153568267822,0.0003,29.65157518722117,36174.92172840983,138.13768658621677,0.06745004227842616,34.277771,,,,,,,,,,,,,,
0.0,6144,3,0.003743419423699379,0.0546875,4.2592453956604,-0.051106907427310944,0.0,0.5461568832397461,0.0003,45.475344978272915,36971.45546733588,135.10617682912496,0.06596981290484617,50.101531,,,,,,,,,,,,,,
0.0,8192,4,0.003411093493923545,0.0625,4.259057998657227,-0.04188651964068413,0.0,0.7335883975028992,0.0003,60.68627314455807,36988.283481608145,134.9893406781827,0.0659127640030189,65.312442,1000.0,-42.47696828842163,,,,,,,,,,,,
0.0,10240,5,0.00773524260148406,0.1236979216337204,4.258962631225586,0.03319995850324631,0.0,0.5530663132667542,0.0003,75.50994417630136,36803.54679152928,135.6112775834074,0.06621644413252314,80.136145,1000.0,-42.47696828842163,,,,,,,,,,,,
0.0,12288,6,-0.0007280260324478149,0.087890625,4.258699417114258,0.01483396627008915,0.0,0.8815937042236328,0.0003,90.26839165762067,36648.96701299399,136.12738384225568,0.06646844914172641,94.89456,1000.0,-42.47696828842163,,,,,,,,,,,,
0.0,14336,7,0.004778683185577393,0.0440848246216774,4.257915496826172,0.01781272701919079,0.0,0.7005625367164612,0.0003,104.36441953666508,36303.9087959685,137.36482283565527,0.0670726674002223,108.990593,1000.0,-42.47696828842163,,,,,,,,,,,,
0.0,16384,8,0.005125944968312979,0.04023437574505806,4.257010459899902,0.01302974671125412,0.0,1.0426020622253418,0.0003,119.60717532411218,36390.48309236113,136.98174842439468,0.06688561934784897,124.233346,1000.0,-46.61321806907654,,,,,,,,,,,,
0.0,18432,9,0.008621152490377426,0.08046875149011612,4.256967067718506,0.008539674803614616,0.0,2.719254732131958,0.0003,134.19184627197683,36276.529108857736,137.35558837637916,0.06706815838690389,138.818039,1000.0,-46.61321806907654,,,,,,,,,,,,
0.0,20480,10,0.0034805778414011,0.0786830335855484,4.257288455963135,0.0006261604721657932,0.0,1.5667203664779663,0.0003,148.9901603590697,36234.40699932575,137.4587419104908,0.06711852632348184,153.616308,1000.0,-46.61321806907654,,,,,,,,,,,,
0.0,22528,11,0.0017960518598556519,0.0385044664144516,4.256981372833252,-0.0007864118670113385,0.0,1.815880298614502,0.0003,163.5476149059832,36144.02289422229,137.74581801728152,0.06725870020375074,168.173791,1000.0,-46.61321806907654,,,,,,,,,,,,
0.0,24576,12,0.005943400785326958,0.0435267873108387,4.256443023681641,-0.006139521021395922,0.0,20.446439743041992,0.0003,178.75041974894702,36196.95999916177,137.48778903298083,0.06713270948876017,183.376597,993.75,-47.8944753408432,,,,,,,,,,,,
0.0,26624,13,0.004977538716048002,0.07018229365348816,4.255316734313965,0.002705648774281144,0.0,0.9557371735572815,0.0003,192.4955561440438,35967.05429799095,138.30968638090195,0.06753402655317478,197.12174,993.75,-47.8944753408432,,,,,,,,,,,,
0.0,28672,14,0.0033421292901039124,0.0514322929084301,4.253335952758789,-0.026292752474546432,0.0,0.5966152548789978,0.0003,206.2257589623332,35765.43876861036,139.03209833858287,0.06788676676688617,210.851928,993.75,-47.8944753408432,,,,,,,,,,,,
0.0,30720,15,0.006642202381044626,0.06015625223517418,4.252346992492676,-0.008027106523513794,0.0,1.1990669965744019,0.0003,220.8921774532646,35740.35431193821,139.07237618905543,0.06790643368606222,225.518349,993.75,-47.8944753408432,,,,,,,,,,,,
0.0,32768,16,0.007240754552185535,0.0625,4.251345634460449,0.009373873472213745,0.0,1.4882537126541138,0.0003,235.58311506547034,35720.28982180194,139.09316035189332,0.06791658220307291,240.209299,995.3125,-51.20893719792366,,,,,,,,,,,,
0.0,34816,17,0.00358008174225688,0.0435267873108387,4.249953746795654,-0.005088401027023792,0.0,1.3641059398651123,0.0003,250.80398646369576,35776.451010262484,138.81757021051044,0.0677820167043508,255.430165,995.3125,-51.20893719792366,,,,,,,,,,,,
0.0,36864,18,0.006399878300726414,0.05417352169752121,4.241671562194824,0.0006819653790444136,0.0,0.890533983707428,0.0003,267.3697567656636,36005.793911109366,137.87647655418812,0.06732249831747467,271.995939,995.3125,-51.20893719792366,,,,,,,,,,,,
0.0,38912,19,0.0043137213215231895,0.05546874925494194,4.2317328453063965,-0.025755921378731728,0.0,1.1821821928024292,0.0003,283.35777219198644,36135.57273795701,137.32462568076494,0.067053039883186,287.983977,995.4545454545455,-50.417200464190856,,,,,,,,,,,,
0.0,40960,20,0.01063260156661272,0.07315341383218765,4.2287445068359375,0.008884750306606293,0.0,1.1667371988296509,0.0003,299.5267922207713,36272.69453793541,136.7490356916377,0.06677199008380746,428.949418,996.25,-51.743086755275726,True,16000,10,10,128.20994213570862,1000.0,0.0,8,-82.76382751464844,1.0202967292147709,124.79531410336494,1000000
0.0,43008,21,0.0050817313604056835,0.0416666679084301,4.22723913192749,-0.0022598877549171448,0.0,0.5780971050262451,0.0003,439.9127878602594,50715.65997188991,97.76483245506769,0.04773673459720102,444.538976,996.25,-51.743086755275726,,,,,,,,,,,,
0.0,45056,22,0.00375074683688581,0.07343750447034836,4.2267889976501465,-0.0047696428373456,0.0,0.6564586758613586,0.0003,457.25418523326516,50297.96037565917,98.53600350757857,0.04811328296268485,461.880375,996.25,-51.743086755275726,,,,,,,,,,,,
0.0,47104,23,0.008121645078063011,0.0595703125,4.226815223693848,0.0017198212444782257,0.0,0.4426962435245514,0.0003,474.44150144048035,49898.86921671835,99.28305145520515,0.04847805246836189,479.067705,996.3414634146342,-51.99268642285975,,,,,,,,,,,,
