diagnostics/gate_mean,loop/frames,loop/update,loss/approx_kl,loss/clipfrac,loss/entropy,loss/policy_loss,loss/pred_loss,loss/value_loss,optim/lr,perf/elapsed_sec,perf/eta_sec,perf/fps,perf/updates_per_sec,time/elapsed_sec,train/len50,train/ret50
0.0,2048,1,0.0055208709090948105,0.0604248046875,1.9372408390045166,-0.008281595073640347,0.0,0.9682033061981201,0.0003,15.297411605715752,749.5731686800717,133.87885825303817,0.0653705362563663,17.305392,,
0.0,4096,2,0.003672553226351738,0.03374999761581421,1.9200636148452759,-0.0007363849435932934,0.0,1.4855629205703735,0.0003,28.663127060979605,687.9150494635105,142.9013656216201,0.06977605743243169,30.671107,,
0.0,6144,3,0.004093984607607126,0.053485579788684845,1.9085520505905151,0.011344912461936474,0.0,1.0345985889434814,0.0003,41.75227976217866,654.1190496074656,147.15364131003807,0.07185236392091703,43.760249,,
0.0,8192,4,0.007287542335689068,0.08349609375,1.9238766431808472,-0.002610938623547554,0.0,1.012739896774292,0.0003,55.39563224837184,637.0497708562762,147.88169513564446,0.0722078589529514,57.403611,1000.0,-35.85936260223389
0.0,10240,5,0.006260364316403866,0.044921875,1.9017585515975952,-0.018832597881555557,0.0,3.457620620727539,0.0003,68.35132157243788,615.1618941519409,149.81422106297939,0.0731514751284079,70.359304,1000.0,-35.85936260223389
0.0,12288,6,0.004514145664870739,0.05553668737411499,1.8610308170318604,-0.00362934242002666,0.0,1.5062137842178345,0.0003,81.63589981012046,598.6632652742168,150.52201333703738,0.07349707682472528,83.643879,1000.0,-35.85936260223389
0.0,14336,7,0.004358649719506502,0.08437500149011612,1.8042376041412354,-0.005122145172208548,0.0,0.7601398825645447,0.0003,93.53708569146693,574.5849549618682,153.26541225891353,0.07483662707954762,95.545058,1000.0,-35.85936260223389
0.0,16384,8,0.0044793980196118355,0.0319010429084301,1.8778785467147827,0.01565477065742016,0.0,47.495460510253906,0.0003,118.3489003777504,621.3317269831896,138.4381261482358,0.06759674128331826,120.356887,991.0625,-42.840860426425934
0.0,18432,9,0.004127632826566696,0.036057692021131516,1.8768562078475952,-0.00378435873426497,0.0,2.7121217250823975,0.0003,130.58255240879953,594.8760720845312,141.15208854470154,0.06892191823471755,132.590545,991.0625,-42.840860426425934
0.0,20480,10,0.00735283549875021,0.03476562723517418,1.869613528251648,9.460226283408701e-05,0.0,22.211400985717773,0.0003,142.9396647941321,571.7586591765285,143.27723539506113,0.06995958759524469,144.947644,958.1764705882352,-46.94990814433378
0.0,22528,11,0.0008440302917733788,0.0200892873108387,1.8782272338867188,-0.008423827588558197,0.0,39.025123596191406,0.0003,155.53574309311807,551.444907330146,144.8413049758772,0.07072329344525254,157.543722,933.0526315789474,-52.51353620228014
0.0,24576,12,0.005634675268083811,0.036576706916093826,1.878191351890564,0.007590373978018761,0.0,2.5292649269104004,0.0003,167.7627911195159,531.2488385451336,146.49255556610174,0.07152956814751062,169.770772,947.0,-53.165889620780945
0.0,26624,13,0.005040447227656841,0.041015625,1.8856841325759888,-0.001732679083943367,0.0,2.4609570503234863,0.0003,180.11288749612868,512.6289874889816,147.81840639011605,0.07217695624517385,182.120866,947.0,-53.165889620780945
0.0,28672,14,0.003979677800089121,0.0342881940305233,1.8733346462249756,0.0054635596461594105,0.0,0.7984799742698669,0.0003,194.0123111922294,498.8888002085899,147.78443606906723,0.07216036917434923,196.020312,949.12,-53.456502265930176
0.0,30720,15,0.003738512983545661,0.0462239608168602,1.8039722442626953,0.00522520300000906,0.0,0.5611640810966492,0.0003,207.4855625052005,484.1329791788012,148.05849442767865,0.07229418673226497,209.493539,952.8888888888889,-52.0123200946384
0.0,32768,16,0.004170223139226437,0.0552455373108387,1.7521592378616333,0.003884116420522332,0.0,2.0402960777282715,0.0003,222.5866096112877,472.9965454239864,147.21460584364948,0.07188213175959447,224.594607,960.25,-48.44541549682617
0.0,34816,17,0.007178470492362976,0.0591517873108387,1.7328131198883057,0.01209466252475977,0.0,0.2326665073633194,0.0003,236.97337483800948,460.00713939143014,146.91945887929208,0.07173801703090434,238.981377,960.25,-48.44541549682617
0.0,36864,18,0.007625405676662922,0.03593749925494194,1.6248642206192017,-0.0015703719109296799,0.0,0.4608530104160309,0.0003,250.36890032701194,445.10026724802117,147.23873433102585,0.07189391324757122,252.376888,961.4545454545455,-48.65657991351503
0.0,38912,19,0.0020928666926920414,0.02890625037252903,1.5605981349945068,0.013669827952980995,0.0,1.1620144844055176,0.0003,264.8148314859718,432.0663040034277,146.94041032993013,0.0717482472314112,266.822828,964.6666666666666,-50.34550582038032
0.0,40960,20,0.0069170184433460236,0.0507812537252903,1.6297277212142944,0.01907969079911709,0.0,3.4545180797576904,0.0003,279.19526408985257,418.7928961347788,146.70735957332704,0.0716344529166636,281.203254,968.2,-49.90236268043518
0.0,43008,21,0.0043669771403074265,0.1276041716337204,1.6787967681884766,-0.00015242895460687578,0.0,5.985444068908691,0.0003,293.4626691173762,405.2579716382814,146.55356379518958,0.07155935732186991,295.470648,968.2,-49.90236268043518
0.0,45056,22,0.00621778191998601,0.0687040463089943,1.5898712873458862,-0.0010090669384226203,0.0,5.139308452606201,0.0003,308.4543502535671,392.5782639590854,146.0702368533995,0.07132335783857398,310.46233,969.7142857142857,-47.27059237162272
