diagnostics/gate_mean,loop/frames,loop/update,loss/approx_kl,loss/clipfrac,loss/entropy,loss/policy_loss,loss/pred_loss,loss/value_loss,optim/lr,perf/elapsed_sec,perf/eta_sec,perf/fps,perf/updates_per_sec,time/elapsed_sec,train/len50,train/ret50
0.0,2048,1,0.004985535517334938,0.036603011190891266,1.9364635944366455,-0.010088306851685047,0.0,0.9382654428482056,0.0003,22.86508377827704,1120.389105135575,89.56888239988437,0.04373480585931854,30.347744,,
0.0,4096,2,0.00431765615940094,0.03515625,1.904685616493225,-0.001258003176189959,0.0,1.425980806350708,0.0003,38.78880246728659,930.9312592148781,105.59748534269534,0.05156127213998796,46.271456,,
0.0,6144,3,0.0036350477021187544,0.03279433026909828,1.8873974084854126,0.001866932143457234,0.0,1.024200201034546,0.0003,54.23032348416746,849.6084012519568,113.2945482391183,0.05531960363238198,61.712936,,
0.0,8192,4,0.0059347269125282764,0.0517733171582222,1.855496883392334,-0.002298758365213871,0.0,66.24264526367188,0.0003,69.85619304329157,803.346219997853,117.26948811715548,0.05726049224470482,77.338823,966.75,-67.02377939224243
0.0,10240,5,0.006778411567211151,0.03173828125,1.8251715898513794,-0.002375661861151457,0.0,1.5798652172088623,0.0003,84.97759494930506,764.7983545437455,120.50235130929346,0.05883903872524095,92.460214,966.75,-67.02377939224243
0.0,12288,6,0.007017100229859352,0.0481770858168602,1.7143945693969727,-0.010826067999005318,0.0,22.723487854003906,0.0003,98.50920780189335,722.4008572138846,124.73960834921894,0.06090801188926706,105.991851,901.8888888888889,-70.97812610202365
0.0,14336,7,0.004866843111813068,0.012500000186264515,1.6102646589279175,-0.0015086770290508866,0.0,0.8532039523124695,0.0003,113.09970041550696,694.7553025523998,126.7554197520616,0.06189229480081133,120.582342,901.8888888888889,-70.97812610202365
0.0,16384,8,0.005503288935869932,0.06875000149011612,1.6205304861068726,0.006210750434547663,0.0,3.218407392501831,0.0003,138.48030123487115,727.0215814830735,118.3128564416662,0.057769949434407324,145.962943,944.8125,-55.675851464271545
0.0,18432,9,0.0047938148491084576,0.04697265848517418,1.717707633972168,0.0026245643384754658,0.0,3.0665247440338135,0.0003,153.41461195796728,698.8887878085176,120.14500942745937,0.058664555384501646,160.897259,944.8125,-55.675851464271545
0.0,20480,10,0.005793555174022913,0.03545673191547394,1.6057502031326294,0.0027977146673947573,0.0,7.927567481994629,0.0003,168.62364131771028,674.4945652708411,121.45390669990837,0.059303665380814635,176.106288,948.0588235294117,-56.097741407506604
0.0,22528,11,0.007165031507611275,0.0345052108168602,1.534501552581787,0.0033740419894456863,0.0,3.937067985534668,0.0003,183.17640976049006,649.4436346053739,122.98526884251196,0.06005140080200779,190.659066,948.0588235294117,-56.097741407506604
0.0,24576,12,0.006689043249934912,0.0531412772834301,1.3863152265548706,-0.004548556637018919,0.0,4.145088195800781,0.0003,198.37589759752154,628.1903423921516,123.88601789649594,0.06049121967602341,205.858565,963.2083333333334,-21.44659650325775
0.0,26624,13,0.0034058433957397938,0.03187499940395355,1.4758044481277466,0.0001150055177276954,0.0,2.937422752380371,0.0003,213.34196280688047,607.2040479888137,124.79495196217137,0.06093503513777899,220.824607,963.2083333333334,-21.44659650325775
0.0,28672,14,0.0004973842878825963,0.060341283679008484,1.5827780961990356,-0.00046137740719132125,0.0,1.9905815124511719,0.0003,228.04069834575057,586.3903671747872,125.73194262248798,0.06139255010863671,235.523348,964.68,-23.78870792388916
0.0,30720,15,0.009548574686050415,0.0234375,1.545298457145691,0.006828147917985916,0.0,1.1979243755340576,0.0003,242.8092056363821,566.5548131515583,126.51909106776044,0.0617768999354299,250.291826,964.68,-23.78870792388916
0.0,32768,16,0.001012104912661016,0.04670139029622078,1.5096899271011353,-0.002886296948418021,0.0,2.699211597442627,0.0003,258.4022959228605,549.1048788360786,126.81001878474818,0.06191895448474032,265.884933,972.40625,-22.31102128326893
0.0,34816,17,0.005283440928906202,0.06357421725988388,1.6324962377548218,-0.0038138844538480043,0.0,6.222906589508057,0.0003,273.5738690700382,531.0551576065448,127.26361665443524,0.06214043781954846,281.056562,972.40625,-22.31102128326893
0.0,36864,18,0.0009199526393786073,0.05142045393586159,1.6089394092559814,-0.001905672368593514,0.0,3.981135845184326,0.0003,287.47413008473814,511.0651201506456,128.23414750097226,0.06261432983445911,294.956791,973.2424242424242,-24.072972109823517
0.0,38912,19,0.0033916449174284935,0.0377604179084301,1.5877550840377808,1.2776391486113425e-05,0.0,2.8014774322509766,0.0003,299.9309269487858,489.3609860743347,129.73653766170088,0.06334791878012738,307.413606,974.0294117647059,-22.075634858187506
0.0,40960,20,0.003924267366528511,0.0269252248108387,1.6821001768112183,0.004589469637721777,0.0,2.3920392990112305,0.0003,313.2492284644395,469.87384269665927,130.75850242564871,0.06384692501252379,320.73189,977.925,-16.943741184473037
