-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us       8.650ms         1.61%       8.650ms       6.731us           0 B           0 B           0 B           0 B          1285  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       8.175ms         1.52%       8.175ms       3.045us           0 B           0 B           0 B           0 B          2685  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       7.510ms         1.40%       7.510ms       1.948us           0 B           0 B           0 B           0 B          3855  
                                            aten::index         0.02%      16.881ms         0.04%      27.419ms      19.698us       7.101ms         1.32%       7.101ms       5.101us           0 B           0 B       3.42 GB       3.42 GB          1392  
                                    aten::_assert_async         0.02%      13.625ms         0.04%      31.941ms      12.477us       6.736ms         1.26%       6.736ms       2.631us           0 B           0 B           0 B           0 B          2560  
void at::native::_assert_async_cuda_kernel<bool>(boo...         0.00%       0.000us         0.00%       0.000us       0.000us       6.736ms         1.26%       6.736ms       2.631us           0 B           0 B           0 B           0 B          2560  
                                      aten::bitwise_not         0.04%      32.342ms         0.07%      53.726ms      13.991us       6.234ms         1.16%       6.234ms       1.624us           0 B           0 B       1.88 MB       1.88 MB          3840  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.234ms         1.16%       6.234ms       1.624us           0 B           0 B           0 B           0 B          3840  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 74.667s
Self CUDA time total: 536.666ms

